2022-12-27/21:16:14		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2022-12-27/21:16:14		column len succesfully validated and default files moved to bad directory
2022-12-27/23:43:19		column len validation started
2022-12-27/23:43:20		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2022-12-27/23:43:20		column len succesfully validated and default files moved to bad directory
2022-12-28/00:42:42		column len validation started
2022-12-28/00:42:43		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2022-12-28/00:42:43		column len succesfully validated and default files moved to bad directory
2023-01-01/21:47:07		column len validation started
2023-01-01/21:47:08		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2023-01-01/21:47:08		column len succesfully validated and default files moved to bad directory
2023-01-02/00:22:47		column len validation started
2023-01-02/00:22:48		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2023-01-02/00:22:48		column len succesfully validated and default files moved to bad directory
2023-01-02/00:26:06		column len validation started
2023-01-02/00:26:06		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2023-01-02/00:26:06		column len succesfully validated and default files moved to bad directory
2023-01-02/00:33:04		column len validation started
2023-01-02/00:33:05		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2023-01-02/00:33:05		column len succesfully validated and default files moved to bad directory
2023-01-04/23:44:18		column len validation started
2023-01-04/23:44:19		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2023-01-04/23:44:19		column len succesfully validated and default files moved to bad directory
2023-01-05/20:57:31		column len validation started
2023-01-05/20:57:33		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2023-01-05/20:57:33		column len succesfully validated and default files moved to bad directory
2023-01-06/03:11:14		column len validation started
2023-01-06/03:11:15		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2023-01-06/03:11:15		column len succesfully validated and default files moved to bad directory
2023-01-10/21:19:52		column len validation started
2023-01-10/21:19:53		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2023-01-10/21:19:53		column len succesfully validated and default files moved to bad directory
2023-01-10/21:54:16		column len validation started
2023-01-10/21:54:17		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2023-01-10/21:54:17		column len succesfully validated and default files moved to bad directory
2023-01-10/21:59:30		column len validation started
2023-01-10/21:59:30		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2023-01-10/21:59:30		column len succesfully validated and default files moved to bad directory
2023-01-10/22:01:53		column len validation started
2023-01-10/22:01:54		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2023-01-10/22:01:54		column len succesfully validated and default files moved to bad directory
2023-01-11/03:13:07		column len validation started
2023-01-11/03:13:07		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2023-01-11/03:13:07		column len succesfully validated and default files moved to bad directory
2023-01-11/03:14:27		column len validation started
2023-01-11/03:14:27		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2023-01-11/03:14:27		column len succesfully validated and default files moved to bad directory
2023-01-11/03:15:28		column len validation started
2023-01-11/03:15:29		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2023-01-11/03:15:29		column len succesfully validated and default files moved to bad directory
2023-01-11/03:18:48		column len validation started
2023-01-11/03:18:49		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2023-01-11/03:18:49		column len succesfully validated and default files moved to bad directory
2023-01-11/03:20:09		column len validation started
2023-01-11/03:20:10		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2023-01-11/03:20:10		column len succesfully validated and default files moved to bad directory
